127.0.0.1 - - [08/Dec/2022:11:16:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:16:04 +0530] "GET /BookStore/LoginHere.jsp HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:16:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:16:20 +0530] "POST /BookStore/ReadPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:16:20 +0530] "GET /BookStore/Welcome.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:16:30 +0530] "POST /BookStore/LoginSuccess.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:16:33 +0530] "POST /BookStore/Novel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:16:33 +0530] "GET /BookStore/Novel.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:18:02 +0530] "POST /BookStore/Novel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:18:02 +0530] "GET /BookStore/Novel.jsp HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:18:17 +0530] "POST /BookStore/Novel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:18:17 +0530] "GET /BookStore/Novel.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:20:04 +0530] "GET /BookStore/Novel.jsp HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:20:50 +0530] "GET /BookStore/Novel.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:21:07 +0530] "GET /BookStore/Novel.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:21:10 +0530] "GET /BookStore/Buy.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:22:04 +0530] "GET /BookStore/Buy.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:22:14 +0530] "GET /BookStore/Buy.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:22:17 +0530] "GET /BookStore/Payment.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:22:23 +0530] "GET /BookStore/Gpay.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [08/Dec/2022:11:22:37 +0530] "GET /BookStore/LoginHere.jsp HTTP/1.1" 200 888
